,기업명,주소,직급,기술스택,자격요건,우대사항,url,기업url,업종분류,사원수,연혁,기업형태,매출액,홈페이지,평균연봉
10,노머스,"서울 강남구 도산대로 145, 인우빌딩 7층 (신사동)",3 ~ 15년,"['AWS RDS', 'NestJS', 'Node.js', 'TypeScript']","['관련 업무 경력 3년 이상 또는 그에 준하는 역량 보유자', 'NodeJS 웹 프레임워크에 대한 경험', 'ES6 문법에 대한 이해', 'Database (RDBMS, MYSQL 등)에 대한 이해', 'REST API의 동작원리에 대한 이해', 'Git, Git Flow에 대한 이해']","['관련 전공 학과 졸업자', 'TypeScript 경험이 있으신 분', 'AWS ECS, ApiGateway, Lambda, RDS, S3 등 클라우드 서비스에 대한 기본 이해가 있으신 분']",https://career.programmers.co.kr/job_positions/9283,http://wonderwall.kr/,"영화, 비디오물 및 방송 프로그램 제작업",64,5년 (2019년 설립),주식회사,"92억 1,814만",-,"4,437만"
11,페이타랩,"서울 강남구 영동대로85길 34, (대치동) 6층",3 ~ 10년,"['Python', 'Flask', 'Git', 'Jenkins', 'uWSGI', 'Nginx', 'Docker', 'AWS EC2', 'AWS S3', 'AWS RDS', 'JavaScript', 'Java', 'Spring', 'SQL']","['프로덕트팀은 패스오더 유저와 점주님을 연결하며 고객지향적인 프로덕트를 만드는 팀이에요.  프로덕트의 성장을 위해 각 팀에서 실현하고자 하는 수많은 아이디어와 프로젝트를 유기적인 의사소통을 통해 흡수하고 구현해내고, 이를 위해 불필요하고 복잡한 업무 프로세스를 지양하며 실행 중심의 효율적인 업무 문화를 갖고 있어요.']",['【이런 분이면 더 좋아요!】'],https://career.programmers.co.kr/job_positions/7304,https://recruit.passorder.co.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,47,6년 (2018년 설립),주식회사,-,-,-
12,로보코리아,"서울 강남구 테헤란로25길 7, (역삼동)",3 ~ 5년,"['JIRA', 'TypeScript', 'NestJS', 'Node.js', 'PyTorch', 'Flask', 'FastAPI', 'Terraform', 'AWS CloudWatch', 'MongoDB', 'Redis', 'Datadog', 'AWS Simple Queue Service(AWS SQS)', 'AWS Lambda', 'AWS EC2']","['3~5년의 웹 서비스 QA 경험을 갖추었거나 그에 준하는 역량을 보유하신 분', '소프트웨어 품질 관리 프로세스에 대한 경험과 이해를 갖추신 분', '반복적인 테스트 활동에서 높은 집중력과 끈기 있는 성격을 가지신 분', '기획, 디자인, 개발 조직에 대한 이해가 높고 새로운 기술에 대한 관심과 학습 능력이 높으신 분', '서비스 품질에 대한 책임감과 개선에 대한 의지가 있으신 분']","['단순 테스트 외에 제품 사용성이나 업무 프로세스 개선에 관심이 많고 agile 기반의 개발 프로세스를 이해하고 수행할 수 있는 분', '테스팅 자동화 도구에 대한 이해 및 자동화 QA에 대한 경험을 보유하신 분', 'React 및 Node.js 환경에서의 E2E 테스트 개발 경험을 보유하신 분', 'ISTQB나 CSTS 등 SW 테스팅 관련 자격증을 보유하신 분']",https://career.programmers.co.kr/job_positions/24156,https://www.lovo.ai/,시스템ㆍ응용 소프트웨어 개발 및 공급업,23,7년 (2017년 설립),주식회사,6억 882만,-,"5,589만"
13,한화비전,경기도 성남시 분당구 판교로319번길 6 (삼평동),3 ~ 10년,"['Kubernetes', 'AWS EC2', 'Azure', 'GCP(Google Cloud Platform)', 'AWS EKS', 'Terraform']",['※아래 자료 중 한 가지 이상을 포트폴리오로 필수 제출 요청드립니다 ※'],"['(우대) 모니터 로깅 솔루에 대한 이해도가 있으신 분(ELK, Loki, Grafana, Prometheus)', '(우대) Shell Script, Powershell 스크립트에 대한 이해도가 높으신  분', '(우대) 자동화 스크립트에 대한 이해도가 높으신 분', '(우대) 관련 오픈 소스 Contribution 을 경험한 분']",https://career.programmers.co.kr/job_positions/24602,https://hanwhavision.ninehire.site/,방송 및 무선 통신장비 제조업,772,6년 (2018년 설립),기타 법인,-,-,"6,032만"
14,디플래닉스,"서울 서초구 강남대로 465, 강남 교보타워 B동 4층",4 ~ 6년,"['Ubuntu', 'centOS', 'GitLab', 'JIRA', 'Jenkins', 'AWS IAM', 'AWS Control Tower', 'AWS Config', 'AWS CloudTrail', 'AWS GuardDuty', 'AWS CloudFormation', 'AWS CloudWatch']","['AWS 클라우드 서비스를 통한 인프라 설계 및 구축, 운영 4년 이상', 'CentOS, Ubuntu, Amazon Linux 등 각종 OS 운영 3년 이상', '시스템 인프라 요건 작성과 프로젝트의 구축 관리 경험이 있는 분', 'AWS 에서 데이터 분석 환경(인프라, 보안, 네트워크, 스토리지)을 구축한 경험이 있는 분', 'OS, 네트워크 등 기본적인 CS 지식을 보유한 분', '주도적으로 업무를 수행할 수 있는 분', '원활한 협업 및 커뮤니케이션 능력을 가진 분']","['AWS 클라우드 서비스를 깊이 있게 운영해 본 경험이 있는 분', '금융권 클라우드 인프라 구축, 운영 경험이 있는 분', '네트워크 시스템과 보안에 대한 깊은 이해와 트러블 슈팅 경험이 있는 분', 'AWS Control Tower(다중 AWS계정) 구축 및 운영 경험이 있는 분', 'Terraform, Infrastructure as Code를 통한 인프라 관리 경험이 있는 분', 'AWS 서비스를 활용하여 로그 관리 및 분석 환경 개발 및 구축 경험이 있는 분', 'AWS의 보안 개념과 Config, CloudTrail, GuardDuty, Security Hub, CloudFormation, CloudWatch, Network Firewall, WAF 등의 보안 관련 서비스 사용 경험이 있는 분', '협업 툴 (notion, jira, gitlab, slack/swit 등) API 기반 운영 자동화 개발 경험이 있으신 분', 'Container Orchestration 운영 경험이 있으신 분 (EKS, ECS)']",https://career.programmers.co.kr/job_positions/26027,https://www.dplanex.com/,그 외 기타 정보 서비스업,11,2년 (2022년 설립),기타 법인,-,-,"5,882만"
15,디플래닉스,"서울 서초구 강남대로 465, 강남 교보타워 B동 4층",4 ~ 6년,"['GCP(Google Cloud Platform)', 'Azure', 'AWS Glue', 'AWS EC2', 'AWS S3', 'AWS Athena', 'AWS Lambda', 'AWS Redshift', 'AWS EMR', 'Python', 'SQL', 'Scala', 'Java']","['※ AWS 의 경우 Glue, MWAA, EC2, S3, Athena, Lambda, Redshift, EMR 등']","['클라우드 플랫폼을 활용해 데이터 설계, 구축, 운영 업무를 수행한 분', '대용량 데이터 처리에 대한 설계 또는 구축 경험이 있는 분', 'Apache Spark 프로젝트와 결과물에 대한 경험 혹은 관심이 있는 분', '클라우드 관련 혹은 기타 IT 자격증을 보유한 분']",https://career.programmers.co.kr/job_positions/26024,https://www.dplanex.com/,그 외 기타 정보 서비스업,11,2년 (2022년 설립),기타 법인,-,-,"5,882만"
16,발란,"대한민국 서울특별시 강남구 테헤란로 217, 10층",3 ~ 15년,"['Node.js', 'Bootstrap', 'Nuxt.js', 'MongoDB', 'Redis', 'MariaDB', 'AWS S3', 'Elasticsearch', 'GitHub', 'BitBucket', 'Vue.js']",[''],[''],https://career.programmers.co.kr/job_positions/18921,http://balaanofficial.com/,통신 판매업,112,9년 (2015년 설립),주식회사,"521억 7,961만",-,"5,022만"
17,발란,"대한민국 서울특별시 강남구 테헤란로 217, 10층",5 ~ 15년,"['Node.js', 'Bootstrap', 'Nuxt.js', 'MongoDB', 'Redis', 'MariaDB', 'AWS S3', 'Elasticsearch', 'GitHub', 'BitBucket', 'Vue.js']",[''],[''],https://career.programmers.co.kr/job_positions/18920,http://balaanofficial.com/,통신 판매업,112,9년 (2015년 설립),주식회사,"521억 7,961만",-,"5,022만"
18,발란,"대한민국 서울특별시 강남구 테헤란로 217, 10층",3 ~ 15년,"['Node.js', 'MySQL', 'MariaDB', 'MongoDB', 'TypeScript', 'NestJS', 'REST API', 'AWS CloudFront', 'AWS EC2', 'AWS RDS', 'AWS S3', 'PostgreSQL', 'Tableau', 'Apache Kafka']",[''],[''],https://career.programmers.co.kr/job_positions/19776,http://balaanofficial.com/,통신 판매업,112,9년 (2015년 설립),주식회사,"521억 7,961만",-,"5,022만"
19,에이비일팔공,"대한민국 서울특별시 서초구 강남대로61길 17, 강남대로61길 17",1 ~ 2년,"['Python', 'Go', 'AWS Lambda', 'Apache Kafka', 'AWS ECS', 'Kubernetes', 'gRPC']","['AWS, GCP, Azure와 같은 클라우드 서비스 위에서의 개발 경험이 있으신 분', '3년 내외의 웹 백엔드 개발 경력, 또는 그에 준하는 역량을 가지신 분', '테스트 코드 작성 경험이 있으신 분']","['Kafka 또는 Queue를 활용한 분산 처리 개발 경험', 'Grafana, New Relic, Sentry와 같은 모니터링 도구 사용 경험', '더 적은 비용으로 시스템을 운영하기 위한 비용 관리 경험', '개인의 실수를 시스템이 잡아줄 수 있는 환경을 만든 경험', 'Strong tech foundation']",https://career.programmers.co.kr/job_positions/10095,https://www.ab180.co/,시스템ㆍ응용 소프트웨어 개발 및 공급업,105,9년 (2015년 설립),주식회사,"134억 4,566만",-,"5,446만"
20,헬스피디아,다산로104,5 ~ 15년,"['Python', 'Django', 'Java', 'AWS EC2', 'MySQL', 'PostgreSQL', 'REST API', 'DRF(Django REST framework)']","['웹에 대한 전반적인 지식, 웹 통신의 흐름, 인프라에 대한 이해', '제품, 서비스 운영 기업 근무경력 만 5년 이상', 'DB설계, 서비스 개발/배포/운영/고도화 경험 보유']","['컴퓨터공학과 등 관련 전공하신 분', '제품, 서비스 공급 기업에서  서비스 런칭, 운영, 고도화 업무 수행 경험  보유하신 분', '의료, 헬스케어, 보험 관련 프로젝트 수행 경험하신 분', '성장을 지향하며 도전적인 분', 'GA4 등 구글 애널러틱스를 활용한 로깅 협업 경험', 'SDK 설치 또는 개발 경험', 'Firebase 활용 역량: 앱 푸시 등 앱 연동 기능 개발 경험']",https://career.programmers.co.kr/job_positions/24668,https://afzima.com/,그 외 기타 정보 서비스업,10,3년 (2021년 설립),주식회사,-,-,"2,959만"
21,벨루가브루어리,"서울 마포구 독막로 79, 벨루가 본사 2층",2 ~ 9년,"['Docker', 'CircleCI', 'MySQL', 'GitHub', 'DRF(Django REST framework)', 'AWS RDS', 'AWS ElasticBeanstalk', 'Celery', 'Django', 'Python', 'Amazon Web Services(AWS)', 'Elasticsearch']","['술에 대한 서비스를 만들어야 하기 때문에 술을 좋아하다 못해 사랑하시는 분이 오시면 좋겠어요.', '', '최신 기술 도입에 거부감은 없지만 트렌드만 너무 좇지 않고,', '오버 엔지니어링을 지양하며 서비스와 규모에 맞는 적정 기술을 좋아하시는 분을 찾아요 :)']",['분과 함께하고 싶어요.'],https://career.programmers.co.kr/job_positions/4944,https://success.veluga.kr/,시스템ㆍ응용 소프트웨어 개발 및 공급업,7,6년 (2018년 설립),주식회사,"4억 2,659만",-,"4,604만"
22,위메이드,"경기도 성남시 분당구 대왕판교로644번길 49(삼평동, 코리아벤처타운업무시설비블럭 위메이드타워)",3 ~ 10년,"['Redis', 'NoSQL', 'Linux', 'Database', 'AWS CloudFront']","['서버 실무 경험 3년 이상이신 분', 'RDBMS나 NoSQL 사용하여 DB 설계 및 개발이 가능하신 분', 'Redis 등의 메모리 DB 사용이 가능하신 분', '원활한 의사 소통이 가능하신 분']","['Linux 사용 경험이 있으신 분', '개발부터 라이브까지 완료한 경험이 있으신 분', 'AWS 등 클라우드 사용 경험이 있으신 분']",https://career.programmers.co.kr/job_positions/24439,http://www.wemade.com/,부동산 개발 및 공급업,0,12년 (2012년 설립),기타 법인,-,-,"4,623만"
23,하이프로토콜,"서울 성동구 뚝섬로3길 13, (성수동1가)",4 ~ 5년,"['TypeScript', 'ExpressJS', 'PostgreSQL', 'AWS Lambda', 'Redis', 'Memcached', 'WebSocket']",['이런 분과 함께 하고 싶어요'],['이런 분이면 더 좋아요'],https://career.programmers.co.kr/job_positions/24117,https://www.plexus.app/,"컴퓨터 시스템 통합 자문, 구축 및 관리업",8,2년 (2022년 설립),기타 법인,-,-,-
24,와드,"대한민국 경기도 성남시 분당구 대왕판교로 660, 유스페이스1 A동 605호",5 ~ 13년,"['Java', 'MySQL', 'Python', 'Redis', 'Spring', 'Aurora DB', 'AWS Redshift', 'Gradle', 'Apache Maven', 'RabbitMQ', 'AWS Simple Queue Service(AWS SQS)', 'JPA(Java Persistent API)', 'Spring Boot', 'Git', 'JIRA', 'Docker', 'GitHub', 'JUnit', 'GitHub Actions']","['유관 경력 5년 이상 또는 그에 준하는 경험을 하신 분', 'JAVA 프로그래밍 언어에 능통하신 분', 'Product에 대해 오너십을 갖고 개발하고 싶은 분.']","['소셜 네트워크, e-커머스 등 캐치테이블과 유사 도메인에서 경험이 있으신 분', '복잡한 상황 속에서 우선순위를 수립할 수 있는 분']",https://career.programmers.co.kr/job_positions/22378,https://biz.catchtable.co.kr/,컴퓨터 프로그래밍 서비스업,10,13년 (2011년 설립),주식회사,"13억 1,677만",-,"4,120만"
25,로보코리아,"서울 강남구 테헤란로25길 7, (역삼동)",3 ~ 8년,"['AWS CodeDeploy', 'AWS CodeStar', 'AWS CodeBuild', 'AWS CodePipeline', 'AWS SageMaker', 'Datadog', 'AWS API Gateway', 'AWS Simple Queue Service(AWS SQS)', 'AWS Simple Notification Service(AWS SNS)', 'AWS S3', 'AWS Lambda', 'AWS ECS', 'AWS EC2', 'AWS CloudFront', 'NestJS', 'NoSQL', 'TypeScript', 'Node.js', 'MongoDB']","['새로운 기술 및 트렌드에 대해 끊임없이 관심을 갖고 이를 활용 하시는 분', '하나의 온전한 서비스의 아키텍처 설계 부터 인프라, 개발, 배포, 운영까지 경험해보신 분', 'AWS 혹은 기타 클라우드 환경을 활용한 인프라 관리 경험이 있으신 분', 'Datadog, Grafana, Prometheus 등의 서비스를 통한 모니터링 경험이 있으신 분', '애자일, 스크럼, 칸반 등의 개발 프로세스 경험이 있으신 분']","['[LOVO 팀으로 합류하는 과정]', '- 서류 접수 - 직무 인터뷰 - 문화 적합성 인터뷰 - 최종 합격', '- 정규직 채용의 경우 3개월의 수습기간이 있습니다.']",https://career.programmers.co.kr/job_positions/22921,https://www.lovo.ai/,시스템ㆍ응용 소프트웨어 개발 및 공급업,23,7년 (2017년 설립),주식회사,6억 882만,-,"5,589만"
26,바텍,"경기도 화성시 삼성1로2길 13, (석우동)",4 ~ 10년,"['Docker', 'Node.js', 'Kubernetes', 'MongoDB', 'AWS DynamoDB']",['신입/경력 무관'],"['프로젝트를 처음부터 끝까지 모두 참여해본 경험이 있으신 분', '컴퓨터공학 전공자']",https://career.programmers.co.kr/job_positions/3669,http://www.vatechnetworks.com/,기타 특수 목적용 기계 제조업,5,13년 (2011년 설립),기타 법인,"12억 6,263만",-,"4,104만"
